Я;Я;Я;Я;c;Я;Я;Я;Я;Я;Я;Я
89;3;33;13;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
33;81;57;20;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
9;25;74;14;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
81;27;99;35;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
29;57;72;22;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
3;35;96;35;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;1
8;46;6;9;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
7;21;78;17;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
61;13;84;20;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
23;65;42;1;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
88;87;54;49;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
43;25;26;40;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
30;21;74;27;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
73;67;15;37;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
56;94;70;24;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
24;36;94;8;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
55;56;73;14;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
74;3;92;41;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
17;9;59;49;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
41;70;4;9;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
60;44;15;39;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
53;21;42;28;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
92;56;26;24;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
4;14;47;2;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
19;37;24;19;хярхмю;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;кнфэ;1
75;44;82;28;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
62;99;92;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
86;36;17;3;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
86;83;92;24;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
48;46;9;50;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
18;52;4;11;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
7;55;91;18;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
54;56;76;49;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
74;3;32;5;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
25;59;17;7;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
97;52;11;4;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
90;21;76;26;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
97;97;64;50;хярхмю;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;1
17;27;41;14;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
83;82;80;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
66;22;77;8;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
80;95;52;8;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
81;44;42;19;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
26;5;91;22;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
91;21;15;4;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
18;28;60;50;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
42;48;69;49;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
89;26;46;37;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
3;52;84;15;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
98;45;84;11;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
45;11;88;35;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
65;46;32;43;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
28;68;34;11;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
73;89;59;42;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
47;100;75;47;хярхмю;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;кнфэ;1
64;70;92;24;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
81;36;99;19;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
38;34;73;6;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
81;69;51;40;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
80;92;62;40;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
99;28;54;46;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
7;77;23;36;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
64;59;90;36;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
47;7;49;38;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
15;64;35;22;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
61;67;65;20;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
29;22;97;45;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
64;7;74;25;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
31;6;11;34;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
19;81;44;18;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
49;80;82;49;хярхмю;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;кнфэ;1
90;92;31;1;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
64;80;47;38;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
58;48;16;23;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
27;73;49;36;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
61;23;33;43;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
57;25;34;35;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
58;39;74;4;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
49;30;65;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
21;74;4;5;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
68;33;26;43;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
80;68;55;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
63;17;97;11;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
26;51;22;14;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
10;40;78;28;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
48;81;71;44;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
8;59;75;14;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
10;17;96;30;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
75;52;44;12;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
78;16;87;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
4;34;65;37;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
33;40;57;41;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
11;69;95;33;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
29;91;57;33;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
3;81;20;28;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
16;21;79;42;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
49;73;87;25;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
56;58;24;33;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
27;35;10;38;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
98;47;63;45;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
46;11;60;37;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
90;92;23;1;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
54;89;9;41;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
87;83;27;48;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
93;10;33;30;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
35;28;75;30;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
35;50;27;33;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
19;65;66;22;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
93;5;65;26;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
95;40;53;12;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
66;57;81;20;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
51;51;25;31;хярхмю;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;1
36;87;34;40;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
84;48;65;28;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
19;41;83;33;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
59;3;87;9;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
53;90;80;8;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
4;94;46;35;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
43;13;78;37;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
34;45;76;20;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
20;13;7;15;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
62;64;94;13;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
95;31;1;48;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
72;54;16;22;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
71;10;10;49;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;1
44;38;39;49;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
3;97;5;31;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
62;54;23;25;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
55;74;17;11;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
83;89;99;39;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
50;14;72;17;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
44;12;5;35;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
41;62;95;7;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
21;10;51;46;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
14;2;75;36;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
30;91;100;26;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
40;19;93;1;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
30;15;99;19;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
69;78;95;25;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
13;47;73;3;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
34;27;65;8;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
48;38;48;23;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;1
81;26;98;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
80;12;73;14;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
79;85;99;15;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
96;42;34;41;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
78;34;82;13;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
95;84;82;22;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
9;90;68;31;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
43;35;4;44;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
72;1;7;39;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
54;41;60;32;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
53;80;60;41;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
54;61;52;9;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
2;69;93;5;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
56;50;28;6;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
57;68;49;45;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
77;67;36;33;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
97;14;7;4;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
81;9;47;24;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
53;78;60;30;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
45;55;46;17;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
30;12;94;10;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
69;22;20;18;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
20;11;76;22;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
35;78;99;22;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
75;97;69;2;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
80;80;78;23;хярхмю;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;1
95;9;64;42;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
31;39;74;17;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
71;21;72;36;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
78;85;33;23;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
15;91;72;7;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
34;55;29;28;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
84;85;15;44;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
59;49;22;49;хярхмю;кнфэ;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;1
71;85;75;20;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
2;21;58;24;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
59;70;100;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
71;21;31;31;хярхмю;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;1
64;18;99;19;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
100;68;92;37;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
22;85;100;4;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
100;44;36;27;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
55;62;59;45;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
59;9;94;48;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
66;83;54;30;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
59;71;10;33;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
46;100;7;39;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
95;17;93;6;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
35;32;80;34;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
88;96;84;33;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
14;37;44;40;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
5;69;52;33;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
48;55;47;25;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
99;13;45;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
39;64;57;37;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
67;22;38;26;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
16;17;68;15;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
28;83;41;38;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
60;68;85;8;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
26;39;4;25;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
73;96;69;17;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
80;50;89;3;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
2;83;37;17;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
91;90;98;26;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
72;15;74;37;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
36;4;92;42;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
51;49;19;26;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
30;23;17;28;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
25;97;35;3;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
62;32;48;24;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
1;16;16;27;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;1
20;40;99;48;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
30;4;24;11;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
21;59;97;26;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
97;52;95;12;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
12;66;60;8;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
88;74;24;1;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
14;63;34;7;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
27;33;53;38;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
44;47;53;49;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
36;90;24;44;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
37;13;11;20;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
74;14;6;44;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
85;12;50;37;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
60;32;51;18;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
23;68;68;10;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;1
54;68;45;39;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
56;38;56;3;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;1
85;8;44;6;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
67;60;1;11;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
59;29;99;17;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
98;91;97;41;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
83;10;94;15;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
42;42;12;4;хярхмю;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;1
5;92;82;26;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
35;21;61;19;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
13;40;82;33;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
67;32;93;45;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
87;8;89;43;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
76;43;10;23;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
62;54;34;7;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
25;39;35;48;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
43;41;19;33;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
66;44;45;48;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
77;58;4;40;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
80;70;32;8;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
19;55;92;29;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
100;4;90;50;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
9;32;88;29;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
33;34;87;46;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
56;81;62;42;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
79;1;53;23;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
43;58;58;4;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;1
35;22;99;26;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
8;16;20;13;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
3;72;92;22;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
42;71;91;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
22;44;81;31;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
4;97;28;1;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
14;6;14;8;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;1
82;75;25;33;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
7;76;16;8;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
38;36;86;39;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
7;53;23;7;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;кнфэ;кнфэ;1
85;19;26;6;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
100;36;79;5;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
