g;g;g;g;g;g;g;g;g
30;16;9;27,5;30;16;9;-2789,176031;0,823969398
17;27;8;26;27;17;8;-826,0411612;0,958838798
10;10;7;13,5;10;10;7;292,5609312;0,560931154
3;30;6;19,5;30;6;3;-10328,19235;0,807651884
2;27;4;16,5;27;4;2;-7730,530294;0,469705589
10;7;8;12,5;10;8;7;218,7611604;0,76116043
16;6;11;16,5;16;11;6;117,2908045;0,290804467
7;1;9;8,5;9;7;1;-16,3995522;0,600447796
11;21;7;19,5;21;11;7;-703,780944;0,219055964
2;2;17;10,5;17;2;2;-1521,758925;0,241074755
24;25;17;33;25;24;17;6617,736169;0,736168812
5;9;27;20,5;27;9;5;-5245,897803;0,102197163
26;8;30;32;30;26;8;1629,174024;0,174023854
26;21;7;27;26;21;7;623,5382907;0,538290725
2;20;17;19,5;20;17;2;-96,59738448;0,402615525
28;26;25;39,5;28;26;25;14148,10124;0,101241587
19;13;2;17;19;13;2;-494,7726751;0,227324926
15;6;24;22,5;24;15;6;-880,496686;0,503313997
29;15;7;25,5;29;15;7;-3433,20046;0,799540016
5;11;24;20;24;11;5;-2414,953416;0,0465843
23;25;6;27;25;23;6;872,953607;0,953607015
24;24;10;29;24;24;10;2557,953283;0,953283389
23;9;27;29,5;27;23;9;1809,331876;0,331875566
4;22;28;27;28;22;4;-597,5575286;0,442471389
24;29;19;36;29;24;19;8568;0
26;2;25;26,5;26;25;2;94,59110192;0,59110192
1;5;20;13;20;5;1;-2422,930457;0,069542888
29;10;21;30;29;21;10;985,9006035;0,900603509
1;7;1;4,5;7;1;1;-64,96543552;0,034564478
10;25;19;27;25;19;10;1413,353459;0,353458976
17;29;9;27,5;29;17;9;-1527,983391;0,016609322
7;19;6;16;19;7;6;-1080;0
28;3;16;23,5;28;16;3;-3353,988501;0,01149865
20;22;29;35,5;29;22;20;8103,879969;0,879969168
7;7;12;13;12;7;7;129,7998459;0,799845917
10;4;18;16;18;10;4;-576;0
22;12;27;30,5;27;22;12;3039,545285;0,545284917
4;9;16;14,5;16;9;4;-329,8581726;0,141827352
6;18;24;24;24;18;6;0;0
27;17;13;28,5;27;17;13;1427,391899;0,391898818
9;11;15;17,5;15;11;9;577,8183308;0,818330825
21;25;21;33,5;25;21;21;7687,079193;0,079193259
22;21;5;24;22;21;5;558,4836614;0,483661355
24;2;24;25;24;24;2;115;0
2;14;8;12;14;8;2;-277,1281292;0,871870789
2;30;17;24,5;30;17;2;-4593,984369;0,015630979
27;17;23;33,5;27;23;17;6517,919666;0,919666077
19;22;8;24,5;22;19;8;1122,973957;0,973956872
8;24;22;27;24;22;8;1480,90344;0,903440471
20;26;9;27,5;26;20;9;1091,416708;0,416707627
19;20;28;33,5;28;20;19;6231,417703;0,417702733
20;26;14;30;26;20;14;3505,424368;0,424368033
21;22;12;27,5;22;21;12;2905,856015;0,856014961
28;30;16;37;30;28;16;8047,494828;0,494827585
13;1;23;18,5;23;13;1;-1862,941066;0,058934356
4;19;3;13;19;4;3;-1946,997689;0,002311249
2;10;29;20,5;29;10;2;-7475,786393;0,213606896
30;21;2;26,5;30;21;2;-2427,838283;0,161717379
11;8;28;23,5;28;11;8;-4226,570876;0,429124315
22;12;28;31;28;22;12;2856,263118;0,263118132
29;15;10;27;29;15;10;-2120,030188;0,969811536
12;20;23;27,5;23;20;12;2743,290643;0,290643495
24;11;9;22;24;11;9;-1341,458907;0,54109269
19;6;8;16,5;19;8;6;-906,3380345;0,661965483
11;6;30;23,5;30;11;6;-6892,794797;0,205202736
28;30;10;34;30;28;10;3358,628291;0,628291431
17;10;7;17;17;10;7;0;0
20;18;4;21;20;18;4;233,7113604;0,711360443
23;9;11;21,5;23;11;9;-912,8718207;0,12817935
30;28;26;42;30;28;26;17420,231;0,23099732
9;16;17;21;17;16;9;1099,818167;0,818166789
19;18;15;26;19;18;15;3140,99602;0,996020373
14;22;16;26;22;16;14;2447,529367;0,529366525
28;2;11;20,5;28;11;2;-5968,064768;0,935232396
16;30;27;36,5;30;27;16;7647,812911;0,812910912
17;1;15;16,5;17;15;1;-47,22097323;0,779026773
6;5;26;18,5;26;6;5;-5443,658958;0,34104195
30;15;23;34;30;23;15;4874,675784;0,675784091
27;21;8;28;27;21;8;740,8103671;0,810367098
18;16;21;27,5;21;18;16;3723,926917;0,926916534
9;3;8;10;9;8;3;44,27188724;0,271887242
16;17;25;29;25;17;16;3360,34284;0,342839652
25;13;2;20;25;13;2;-2817,445652;0,55434835
9;30;24;31,5;30;24;9;1420,660539;0,660539041
25;26;22;36,5;26;25;22;10577,95156;0,951559509
23;15;6;22;23;15;6;-525,3265651;0,6734349
15;3;30;24;30;15;3;-5555,442737;0,557263368
26;7;1;17;26;7;1;-5937,272101;0,727899111
30;17;24;35,5;30;24;17;6971,824317;0,824316826
9;23;2;17;23;9;2;-2968,63605;0,363949555
29;22;9;30;29;22;9;920,1738966;0,173896609
29;8;13;25;29;13;8;-4080;0
8;16;11;17,5;16;11;8;387,4781748;0,478174789
14;6;1;10,5;14;6;1;-484,8404135;0,1595865
9;28;15;26;28;15;9;-1907,033298;0,966701916
12;27;29;34;29;27;12;4489,832959;0,832959031
4;21;15;20;21;15;4;-357,7708764;0,2291236
13;8;19;20;19;13;8;375,6594202;0,65942022
30;25;28;41,5;30;28;25;16502,1147;0,114700424
8;18;14;20;18;14;8;643,9875775;0,98757752
15;21;14;25;21;15;14;2200;0
8;30;9;23,5;30;9;8;-7081,854312;0,145688297
16;6;20;21;20;16;6;343,6931771;0,693177122
26;29;16;35,5;29;26;16;7174,402697;0,402696719
27;4;23;27;27;23;4;0;0
20;24;7;25,5;24;20;7;770,7184706;0,718470609
8;22;7;18,5;22;8;7;-1817,778858;0,221142008
22;23;3;24;23;22;3;205,7571384;0,757138394
27;1;25;26,5;27;25;1;-98,45196322;0,548036777
2;24;6;16;24;6;2;-4480;0
1;6;4;5,5;6;4;1;-7,915076595;0,084923405
26;8;30;32;30;26;8;1629,174024;0,174023854
7;18;7;16;18;7;7;-648;0
26;18;8;26;26;18;8;0;0
11;16;26;26,5;26;16;11;418,9034514;0,903451361
30;20;11;30,5;30;20;11;565,3844171;0,384417067
8;25;27;30;27;25;8;1807,48444;0,484439767
8;14;26;24;26;14;8;-1567,673435;0,326564619
6;19;3;14;19;6;3;-1646,32925;0,670749819
14;11;13;19;14;13;11;1046,135746;0,13574645
18;18;30;33;30;18;18;3877,579786;0,579786413
30;8;21;29,5;30;21;8;-496,2932837;0,706716308
9;2;1;6;9;2;1;-146,9693846;0,030615433
8;11;17;18;17;11;8;296,9848481;0,984848098
4;7;16;13,5;16;7;4;-567,2099686;0,790031437
4;2;4;5;4;4;2;6,708203932;0,708203932
3;3;13;9,5;13;3;3;-455,7813603;0,218639655
25;6;25;28;25;25;6;1047,717519;0,717519182
10;23;19;26;23;19;10;1713,270557;0,270556567
3;27;7;18,5;27;7;3;-6516,799035;0,200964886
24;8;11;21,5;24;11;8;-1643,169277;0,830722829
12;1;14;13,5;14;12;1;-34,44594951;0,554050492
29;24;29;41;29;29;24;15674,84813;0,848133236
18;22;11;25,5;22;18;11;1922,062034;0,062033582
1;26;11;19;26;11;1;-4393,770135;0,229864911
15;13;2;15;15;13;2;0;0
22;10;14;23;22;14;10;561,1122882;0,112288228
10;21;13;22;21;13;10;506,5649021;0,564902061
17;25;27;34,5;27;25;17;7323,732359;0,73235885
17;28;25;35;28;25;17;7454,260527;0,260526706
29;8;2;19,5;29;8;2;-8442,611403;0,388596845
5;5;17;13,5;17;5;5;-929,1220781;0,877921941
17;15;1;16,5;17;15;1;-47,22097323;0,779026773
30;15;14;29,5;30;15;14;-610,3524788;0,647521151
13;22;3;19;22;13;3;-1255,362896;0,63710426
24;2;5;15,5;24;5;2;-4743,597619;0,4023814
5;6;12;11,5;12;6;5;-60,61707422;0,382925776
10;7;17;17;17;10;7;0;0
24;26;24;37;26;24;24;11307,85554;0,855543824
30;5;4;19,5;30;5;4;-10420,92584;0,074162787
19;18;13;25;19;18;13;2520;0
15;6;13;17;15;13;6;362,8332951;0,833295054
9;27;25;30,5;27;25;9;2285,699395;0,699395494
7;8;27;21;27;8;7;-5004,172659;0,827341108
10;5;25;20;25;10;5;-3354,101966;0,89803375
25;3;20;24;25;20;3;-411,5142768;0,485723212
9;9;10;14;10;9;9;374,1657387;0,165738677
10;23;13;23;23;13;10;0;0
17;5;27;24,5;27;17;5;-1809,751418;0,248581901
17;27;10;27;27;17;10;0;0
22;15;16;26,5;22;16;15;2797,194014;0,194013929
22;11;6;19,5;22;11;6;-1266,805699;0,194300736
28;29;17;37;29;28;17;8759,178044;0,178043629
20;20;2;21;20;20;2;87,0689382;0,068938204
28;5;2;17,5;28;5;2;-8510,401207;0,598792599
12;2;21;17,5;21;12;2;-1248,192177;0,807822914
26;18;16;30;26;18;16;3680,695586;0,695586435
26;14;12;26;26;14;12;0;0
3;5;8;8;8;5;3;0;0
28;3;23;27;28;23;3;-498,8306326;0,16936742
3;30;8;20,5;30;8;3;-9409,11112;0,888879904
12;21;21;27;21;21;12;2805,922308;0,922308262
14;18;9;20,5;18;14;9;846,1125488;0,112548845
3;1;3;3,5;3;3;1;1,169267933;0,169267933
16;27;2;22,5;27;16;2;-2844,271113;0,728887032
13;19;10;21;19;13;10;806,5333223;0,533322312
19;30;25;37;30;25;19;9197,136946;0,136945811
11;16;16;21,5;16;16;11;1472,766537;0,766537316
3;19;30;26;30;19;3;-3283,768567;0,231433246
18;19;15;26;19;18;15;3140,99602;0,996020373
20;29;26;37,5;29;26;20;10475,39598;0,395978121
24;3;23;25;24;23;3;220;0
5;9;18;16;18;9;5;-616;0
3;6;8;8,5;8;6;3;20,04389714;0,043897139
30;3;4;18,5;30;4;3;-11116,89247;0,107528335
26;15;21;31;26;21;15;4454,21149;0,211490264
26;2;11;19,5;26;11;2;-4269,604394;0,395606185
7;20;21;24;21;20;7;999,3918151;0,391815056
4;29;2;17,5;29;4;2;-10066,58886;0,411143245
25;16;16;28,5;25;16;16;2919,513585;0,51358454
22;8;10;20;22;10;8;-1073,312629;0,6873708
14;26;10;25;26;14;10;-825;0
24;29;19;36;29;24;19;8568;0
14;23;13;25;23;14;13;1320;0
15;20;21;28;21;20;15;3852,213909;0,21390891
17;25;22;32;25;22;17;5939,696962;0,696961967
19;11;30;30;30;19;11;0;0
1;7;7;7,5;7;7;1;4,45024578;0,45024578
29;18;5;26;29;18;5;-2569,905835;0,094165149
25;30;12;33,5;30;25;12;3702,097339;0,097339474
9;10;5;12;10;9;5;145,4922678;0,492267836
22;1;19;21;22;19;1;-183,3030278;0,696972202
16;26;15;28,5;26;16;15;2252,196194;0,196193788
13;20;17;25;20;17;13;2400;0
24;12;22;29;24;22;12;3204,17306;0,173060245
28;8;1;18,5;28;8;1;-7508,217022;0,782977859
19;5;11;17,5;19;11;5;-509,8397037;0,160296331
5;9;21;17,5;21;9;5;-1555,664737;0,335263163
11;21;21;26,5;21;21;11;2413,681791;0,681791178
9;10;3;11;10;9;3;53,06599665;0,065996646
19;21;4;22;21;19;4;253,282451;0,28245103
13;6;12;15,5;13;12;6;327,2634523;0,263452264
22;17;12;25,5;22;17;12;2028,106835;0,106835435
25;15;9;24,5;25;15;9;-364,4251574;0,574842646
3;17;15;17,5;17;15;3;75,8223149;0,822314905
24;16;19;29,5;24;19;16;4234,44762;0,447620226
28;16;10;27;28;16;10;-971,680503;0,319496954
5;20;16;20,5;20;16;5;157,9032783;0,903278346
15;15;23;26,5;23;15;15;2382,794901;0,794900755
28;19;21;34;28;21;19;6822,213717;0,213716969
21;7;30;29;30;21;7;-947,7890061;0,210993944
2;7;27;18;27;7;2;-6720,342848;0,657151603
30;10;30;35;30;30;10;3697,549864;0,549864437
19;4;29;26;29;19;4;-2355,747015;0,25298472
19;22;12;26,5;22;19;12;2519,212;0,212000123
21;19;24;32;24;21;19;6471,441261;0,441261419
25;3;29;28,5;29;25;3;-238,2323085;0,767691502
27;7;14;24;27;14;7;-2498,479538;0,520462361
18;30;2;25;30;18;2;-4025;0
6;8;23;18,5;23;8;6;-2540,37418;0,625819576
22;17;13;26;22;17;13;2386,341132;0,341132361
21;15;18;27;21;18;15;3367,10677;0,106769914
20;7;27;27;27;20;7;0;0
9;16;9;17;16;9;9;263,87876;0,87876004
24;16;11;25,5;24;16;11;1043,405104;0,405103945
5;19;21;22,5;21;19;5;435,80139;0,801390042
22;26;15;31,5;26;22;15;4838,664562;0,664561859
20;5;6;15,5;20;6;5;-1767,222642;0,777357776
14;15;16;22,5;16;15;14;1965,553208;0,553208148
5;15;23;21,5;23;15;5;-745,9466877;0,053312269
25;23;23;35,5;25;23;23;9775,151603;0,151603284
24;1;2;13,5;24;2;1;-5545,797871;0,20212923
5;24;6;17,5;24;6;5;-3908,771061;0,228938536
19;17;9;22,5;19;17;9;1232,69536;0,695360404
21;3;23;23,5;23;21;3;124,2217963;0,221796346
16;10;4;15;16;10;4;-213,014084;0,985915959
10;4;23;18,5;23;10;4;-2385,532326;0,467674383
24;11;2;18,5;24;11;2;-2927,478817;0,52118256
1;4;9;7;9;4;1;-95,2470472;0,752952802
22;8;27;28,5;27;22;8;1067,040508;0,040507812
5;19;27;25,5;27;19;5;-1009,319275;0,680725222
1;2;1;2;2;1;1;0;0
11;20;30;30,5;30;20;11;565,3844171;0,384417067
23;12;1;18;23;12;1;-2163,74675;0,253249569
28;4;22;27;28;22;4;-597,5575286;0,442471389
17;30;20;33,5;30;20;17;4512,405923;0,405922669
20;15;14;24,5;20;15;14;2221,817895;0,817894836
15;25;2;21;25;15;2;-2089,654517;0,3454831
25;3;11;19,5;25;11;3;-3406,299769;0,700230868
5;29;21;27,5;29;21;5;-1150,412205;0,587794663
28;4;18;25;28;18;4;-2205;0
30;13;15;29;30;15;13;-1206,276917;0,723083202
30;23;3;28;30;23;3;-1322,875656;0,124344468
6;5;2;6,5;6;5;2;8,604595429;0,604595429
7;19;3;14,5;19;7;3;-1477,935968;0,064031643
7;25;22;27;25;22;7;1039,230485;0,230484541
19;25;11;27,5;25;19;11;1838,693012;0,693011948
4;19;9;16;19;9;4;-1008;0
12;14;9;17,5;14;12;9;684,4924842;0,492484208
7;14;29;25;29;14;7;-3960;0
4;26;25;27,5;26;25;4;462,1313987;0,131398725
5;24;30;29,5;30;24;5;-365,9399178;0,060082203
28;20;24;36;28;24;20;9216;0
6;22;3;15,5;22;6;3;-3038,874914;0,125086124
9;12;11;16;12;11;9;560;0
29;6;17;26;29;17;6;-2753,470537;0,52946266
15;27;14;28;27;15;14;963,0534772;0,053477228
26;29;29;42;29;29;26;17523,92285;0,922848495
27;5;8;20;27;8;5;-5634,891303;0,108696701
23;3;11;18,5;23;11;3;-2250,045703;0,954297339
12;15;9;18;15;12;9;687,3077913;0,307791313
3;27;19;24,5;27;19;3;-1463,269095;0,730904682
21;6;17;22;21;17;6;375,2332608;0,233260786
6;28;3;18,5;28;6;3;-7916,827472;0,172527675
26;5;19;25;26;19;5;-600;0
4;30;22;28;30;22;4;-1523,952755;0,047244827
2;24;8;17;24;8;2;-3896,334816;0,665183791
7;27;27;30,5;27;27;7;1589,841651;0,841651411
26;22;4;26;26;22;4;0;0
9;10;10;14,5;10;10;9;424,1033648;0,103364833
16;14;22;26;22;16;14;2447,529367;0,529366525
18;30;4;26;30;18;4;-3589,709738;0,290262431
3;3;10;8;10;3;3;-141,4213562;0,578643763
2;9;19;15;19;9;2;-1208,370804;0,629195983
9;8;2;9,5;9;8;2;17,33741438;0,337414383
28;15;2;22,5;28;15;2;-4011,15157;0,84843043
15;7;22;22;22;15;7;0;0
3;21;14;19;21;14;3;-697,423831;0,576169033
1;17;11;14,5;17;11;1;-449,8065991;0,193400935
13;7;16;18;16;13;7;466,6904756;0,690475583
22;6;7;17,5;22;7;6;-2273,10071;0,89929041
17;28;18;31,5;28;18;17;3845,254526;0,25452567
29;24;5;29;29;24;5;0;0
15;16;21;26;21;16;15;2804,460732;0,460732476
18;4;26;24;26;18;4;-1175,755077;0,244923464
12;21;3;18;21;12;3;-1145,512986;0,487014478
1;5;7;6,5;7;5;1;-10,51672775;0,483272253
16;11;23;25;23;16;11;1260;0
7;20;20;23,5;20;20;7;979,8372912;0,83729118
29;27;9;32,5;29;27;9;2578,93429;0,934289646
29;7;10;23;29;10;7;-5985,197741;0,802258906
5;16;5;13;16;5;5;-692,2658449;0,734155111
11;21;14;23;21;14;11;1035,899609;0,899609036
18;10;22;25;22;18;10;1575;0
5;17;6;14;17;6;5;-808,1979955;0,802004457
12;13;21;23;21;13;12;1055,082935;0,082935129
26;26;4;28;26;26;4;507,9842517;0,984251724
23;23;10;28;23;23;10;2381,17618;0,176179958
25;26;13;32;26;25;13;4514,169691;0,169691095
13;4;30;23,5;30;13;4;-6451,65593;0,344069761
25;15;16;28;25;16;15;2476,423227;0,423227156
9;20;6;17,5;20;9;6;-1022,29397;0,706030079
17;8;24;24,5;24;17;8;306,2656246;0,265624601
4;7;1;6;7;4;1;-24,49489743;0,505102572
6;22;5;16,5;22;6;5;-2697,688503;0,311497261
17;8;1;13;17;8;1;-865,3323061;0,667693889
13;27;30;35;30;27;13;5206,150209;0,150209128
5;30;26;30,5;30;26;5;316,8637942;0,863794181
17;16;22;27,5;22;17;16;3482,700881;0,700881455
6;14;8;14;14;8;6;0;0
6;13;2;10,5;13;6;2;-309,8604146;0,139585357
13;19;19;25,5;19;19;13;2666,900523;0,900522786
9;27;4;20;27;9;4;-5509,671497;0,328503441
22;19;5;23;22;19;5;345,2998697;0,299869679
24;24;11;29,5;24;24;11;3039,541766;0,541766194
26;6;24;28;26;24;6;931,3044615;0,304461495
26;5;22;26,5;26;22;5;249,025554;0,025554035
14;29;5;24;29;14;5;-4654,030511;0,969488712
6;16;11;16,5;16;11;6;117,2908045;0,290804467
5;1;9;7,5;9;5;1;-66,7536867;0,246313304
26;13;17;28;26;17;13;1746,195865;0,195865303
14;26;10;25;26;14;10;-825;0
26;6;23;27,5;26;23;6;761,0419205;0,041920453
7;29;16;26;29;16;7;-2906,441123;0,558877252
21;22;17;30;22;21;17;5126,683138;0,683138248
1;26;26;26,5;26;26;1;32,81732107;0,817321074
12;21;13;23;21;13;12;1055,082935;0,082935129
4;27;23;27;27;23;4;0;0
25;20;21;33;25;21;20;7169,214183;0,214182879
11;21;7;19,5;21;11;7;-703,780944;0,219055964
26;8;30;32;30;26;8;1629,174024;0,174023854
12;7;9;14;12;9;7;261,9160171;0,916017074
16;4;26;23;26;16;4;-1913,536778;0,463222198
28;1;25;27;28;25;1;-270,199926;0,800074019
2;8;15;12,5;15;8;2;-417,6349426;0,365057362
29;1;18;24;29;18;1;-3380,295845;0,704154959
10;29;6;22,5;29;10;6;-6359,142732;0,857267755
4;22;27;26,5;27;22;4;-260,6081379;0,391862056
25;21;25;35,5;25;25;21;9524,907722;0,90772224
17;26;22;32,5;26;22;17;6030,815389;0,815389134
28;9;24;30,5;28;24;9;1929,486503;0,48650269
8;21;23;26;23;21;8;1376,735269;0,73526867
3;15;10;14;15;10;3;-164,632925;0,367074982
11;4;6;10,5;11;6;4;-47,39041636;0,609583643
6;29;8;21,5;29;8;6;-7276,892513;0,107486816
10;21;5;18;21;10;5;-1323,703894;0,296105619
23;21;25;34,5;25;23;21;8662,929133;0,929133039
9;30;2;20,5;30;9;2;-9151,032644;0,967356341
5;5;3;6,5;5;5;3;20,07738933;0,077389335
4;8;14;13;14;8;4;-162,2498074;0,750192604
24;6;13;21,5;24;13;6;-1527,249046;0,750954023
29;30;4;31,5;30;29;4;578,787627;0,787627017
16;8;26;25;26;16;8;-765;0
2;24;30;28;30;24;2;-1100,632545;0,367454597
22;25;3;25;25;22;3;0;0
11;17;2;15;17;11;2;-402,790268;0,209731994
6;12;20;19;20;12;6;-396,6598039;0,340196138
22;4;4;15;22;4;4;-3280,416894;0,583105762
1;26;18;22,5;26;18;1;-1606,239409;0,760590988
14;27;17;29;27;17;14;1938,659331;0,659330568
21;18;15;27;21;18;15;3367,10677;0,106769914
25;11;21;28,5;25;21;11;2452,391411;0,391411013
21;14;17;26;21;17;14;2753,470537;0,47053734
9;5;1;7,5;9;5;1;-66,7536867;0,246313304
8;10;10;14;10;10;8;359,1991091;0,19910913
17;12;22;25,5;22;17;12;2028,106835;0,106835435
6;14;19;19,5;19;14;6;163,9395611;0,939561081
3;13;12;14;13;12;3;82,31646251;0,316462509
3;5;1;4,5;5;3;1;-5,568465902;0,431534098
28;14;6;24;28;14;6;-3527,26523;0,734770392
2;30;18;25;30;18;2;-4025;0
10;20;5;17,5;20;10;5;-980,4609686;0,539031405
5;5;12;11;12;5;5;-119,3984925;0,601507547
10;15;16;20,5;16;15;10;1176,634106;0,634106387
3;18;11;16;18;11;3;-520;0
29;29;1;29,5;29;29;1;38,6986555;0,6986555
24;21;11;28;24;21;11;2518,755248;0,755248133
13;7;23;21,5;23;13;7;-857,2301097;0,769890323
24;9;2;17,5;24;9;2;-3582,473651;0,526348884
22;26;2;25;26;22;2;-345;0
29;19;4;26;29;19;4;-2355,747015;0,25298472
14;17;15;23;17;15;14;2071,799218;0,799218071
2;14;24;20;24;14;2;-1931,962733;0,03726744
2;18;26;23;26;18;2;-1510,68693;0,313070156
3;6;6;7,5;6;6;3;27,72845447;0,728454474
23;28;7;29;28;23;7;710,8417545;0,841754542
17;19;29;32,5;29;19;17;4175,179885;0,179884785
19;22;9;25;22;19;9;1440;0
4;7;11;11;11;7;4;0;0
7;22;25;27;25;22;7;1039,230485;0,230484541
29;11;20;30;29;20;11;1040,672859;0,67285926
9;12;30;25,5;30;12;9;-5061,745631;0,254368705
25;11;12;24;25;12;11;-764,2407997;0,759200252
8;2;11;10,5;11;8;2;-34,42893496;0,57106504
23;26;20;34,5;26;23;20;8325,193104;0,193104461
16;12;5;16,5;16;12;5;105,1047469;0,10474686
9;28;3;20;28;9;3;-6690,315389;0,684611321
3;22;6;15,5;22;6;3;-3038,874914;0,125086124
30;20;25;37,5;30;25;20;10046,73527;0,735273134
7;27;13;23,5;27;13;7;-2939,511874;0,488126459
15;19;24;29;24;19;15;3769,615365;0,615364994
21;25;7;26,5;25;21;7;828,1547495;0,154749466
11;5;24;20;24;11;5;-2414,953416;0,0465843
11;29;30;35;30;29;11;4259,577444;0,577443832
19;20;22;30,5;22;20;19;5668,341207;0,341207008
19;10;9;19;19;10;9;0;0
17;5;16;19;17;16;5;366,1475113;0,147511257
21;26;14;30,5;26;21;14;3895,560764;0,560763749
27;1;30;29;30;27;1;-301,5692292;0,4307708
1;4;16;10,5;16;4;1;-1100,51078;0,489220152
27;28;8;31,5;28;27;8;2077,32141;0,32141042
25;23;3;25,5;25;23;3;142,0242882;0,024288196
9;28;27;32;28;27;9;2602,152955;0,152954766
1;26;20;23,5;26;20;1;-954,3869719;0,613028071
4;10;8;11;10;8;4;69,6491206;0,649120597
15;2;9;13;15;9;2;-317,2885122;0,711487759
5;11;2;9;11;5;2;-168;0
12;11;23;23;23;12;11;0;0
12;5;6;11,5;12;6;5;-60,61707422;0,382925776
14;14;24;26;24;14;14;1468,51762;0,517619915
15;6;17;19;17;15;6;453,3254901;0,325490128
26;22;7;27,5;26;22;7;886,8989822;0,898982234
17;11;22;25;22;17;11;1680;0
10;14;1;12,5;14;10;1;-152,4698997;0,530100307
19;26;13;29;26;19;13;2584,879107;0,879107425
29;22;12;31,5;29;22;12;2599,282616;0,282615875
10;30;3;21,5;30;10;3;-8385,089923;0,910076604
28;9;3;20;28;9;3;-6690,315389;0,684611321
8;16;30;27;30;16;8;-3257,987569;0,012430963
6;26;26;29;26;26;6;1114,729115;0,729115077
17;4;6;13,5;17;6;4;-916,2622569;0,73774309
8;29;14;25,5;29;14;8;-3556,919395;0,080604521
2;7;2;5,5;7;2;2;-43,09319479;0,906805207
30;26;17;36,5;30;26;17;8040,511905;0,511905054
30;28;19;38,5;30;28;19;10798,74289;0,742885821
24;3;18;22,5;24;18;3;-624,3521955;0,647804471
25;7;13;22,5;25;13;7;-1746,170195;0,829804526
25;11;27;31,5;27;25;11;3365,386966;0,386965816
25;6;2;16,5;25;6;2;-5256,7606;0,2393998
13;15;22;25;22;15;13;1800;0
20;27;5;26;27;20;5;-642,4764587;0,523541287
23;16;4;21,5;23;16;4;-669,4393351;0,560664856
7;22;10;19,5;22;10;7;-1310,964504;0,035496404
28;8;26;31;28;26;8;1920,878705;0,878705176
6;3;11;10;11;6;3;-88,54377448;0,456225515
20;19;24;31,5;24;20;19;6050,961555;0,961555173
3;12;23;19;23;12;3;-1952,786727;0,213273294
23;1;21;22,5;23;21;1;-76,48759091;0,512409095
28;1;9;19;28;9;1;-7061,416289;0,583711464
13;5;25;21,5;25;13;5;-2276,093739;0,906260512
7;6;19;16;19;7;6;-1080;0
22;18;12;26;22;18;12;2284,360742;0,36074209
12;27;18;28,5;27;18;12;1387,352855;0,352855373
15;22;29;33;29;22;15;4549,693616;0,693616058
19;1;25;22,5;25;19;1;-892,3552272;0,644772771
8;6;3;8,5;8;6;3;20,04389714;0,043897139
29;6;22;28,5;29;22;6;-390,3806736;0,61932641
9;22;3;17;22;9;3;-2308,93915;0,060849654
20;19;14;26,5;20;19;14;3136,949809;0,949808582
1;7;28;18;28;7;1;-7933,738085;0,261915087
5;19;11;17,5;19;11;5;-509,8397037;0,160296331
21;9;25;27,5;25;21;9;1576,4908;0,490799906
28;23;19;35;28;23;19;7951,211228;0,211228486
10;27;28;32,5;28;27;10;3174,675949;0,67594926
13;24;6;21,5;24;13;6;-1527,249046;0,750954023
11;22;24;28,5;24;22;11;2732,664715;0,664715129
28;8;10;23;28;10;8;-4675,935735;0,06426477
24;19;19;31;24;19;19;5612,306478;0,306477733
22;22;19;31,5;22;22;19;6331,585859;0,585859182
21;29;25;37,5;29;25;21;10735,65426;0,654263292
11;10;21;21;21;11;10;0;0
24;24;24;36;24;24;24;10368;0
26;17;24;33,5;26;24;17;6804,421629;0,421629421
24;12;24;30;24;24;12;3549,242173;0,242172633
4;11;23;19;23;11;4;-2092,271493;0,7285071
20;21;5;23;21;20;5;517,9498045;0,949804518
27;28;1;28;28;27;1;0;0
24;20;8;26;24;20;8;1101,388215;0,388214936
18;8;4;15;18;8;4;-894,659153;0,340847026
7;5;21;16,5;21;7;5;-1996,99019;0,00980966
3;4;17;12;17;4;3;-1247,076581;0,92341855
7;22;12;20,5;22;12;7;-779,3290835;0,670916549
26;14;11;25,5;26;14;11;-421,0231121;0,976887882
5;23;12;20;23;12;5;-1609,968944;0,0310562
30;24;22;38;30;24;22;11046,62989;0,62989332
12;24;6;21;24;12;6;-1855,943156;0,056843543
1;18;7;13;18;7;1;-1297,998459;0,001540833
16;25;30;35,5;30;25;16;6709,66406;0,664060494
28;10;22;30;28;22;10;1752,712184;0,712184017
15;1;30;23;30;15;1;-5908,464437;0,535563279
14;21;23;29;23;21;14;3877,318661;0,318661137
5;9;8;11;9;8;5;119,3984925;0,398492453
27;4;16;23,5;27;16;4;-2481,406127;0,593872985
22;11;14;23,5;22;14;11;863,4929746;0,492974602
19;16;18;26,5;19;18;16;3445,818713;0,818712812
1;3;30;17;30;3;1;-12006,48358;0,516418201
25;11;6;21;25;11;6;-2749,545417;0,454583026
6;17;22;22,5;22;17;6;215,2325232;0,232523245
5;21;13;19,5;21;13;5;-624,2950962;0,704903761
9;4;9;11;9;9;4;92,86549413;0,86549413
17;11;2;15;17;11;2;-402,790268;0,209731994
16;1;26;21,5;26;16;1;-2352,601092;0,398907924
24;23;3;25;24;23;3;220;0
26;6;24;28;26;24;6;931,3044615;0,304461495
2;17;19;19;19;17;2;0;0
23;27;18;34;27;23;18;7183,732734;0,732734449
30;3;23;28;30;23;3;-1322,875656;0,124344468
20;24;6;25;24;20;6;475;0
