;;;;;;п;;;;;;неп;;;;;;;;;;;;
70;29;9;24;46;29;0;29;0;0;0;29;70;0;9;24;46;0;0;0;1;1;0;0;2
88;58;89;25;132;87;0;0;0;0;0;0;88;58;89;25;132;87;0;0;0;1;0;0;1
51;18;8;4;76;36;0;0;0;0;0;0;51;18;8;4;76;36;0;1;1;1;0;1;4
40;29;97;14;40;29;40;29;0;0;40;29;0;0;97;14;0;0;0;0;0;1;0;0;1
59;98;95;10;59;32;59;0;0;0;59;0;0;98;95;10;0;32;0;0;0;1;0;1;2
25;14;75;20;25;14;25;14;0;0;25;14;0;0;75;20;0;0;0;0;0;1;0;0;1
71;31;9;32;213;15;0;0;0;0;0;0;71;31;9;32;213;15;0;1;1;1;0;1;4
4;89;79;47;12;89;0;89;0;0;0;89;4;0;79;47;12;0;1;0;0;0;1;0;2
12;16;51;39;12;32;12;0;0;0;12;0;0;16;51;39;0;32;0;1;0;0;0;1;2
48;4;42;16;96;4;0;4;0;0;0;4;48;0;42;16;96;0;0;0;0;1;0;0;1
22;5;20;5;66;5;0;5;0;5;0;5;22;0;20;0;66;0;1;0;1;0;0;0;2
91;74;47;13;182;74;0;74;0;0;0;74;91;0;47;13;182;0;0;0;0;1;0;0;1
86;88;76;37;43;132;0;0;0;0;0;0;86;88;76;37;43;132;0;0;0;0;0;0;0
69;94;31;21;69;47;69;0;0;0;69;0;0;94;31;21;0;47;0;0;1;1;0;0;2
33;24;89;46;99;8;0;0;0;0;0;0;33;24;89;46;99;8;1;1;0;0;0;1;3
10;73;32;16;5;36;0;0;0;0;0;0;10;73;32;16;5;36;1;0;1;1;1;1;5
30;43;25;10;20;43;0;43;0;0;0;43;30;0;25;10;20;0;1;0;1;1;1;0;4
41;1;87;2;123;1;0;1;0;0;0;1;41;0;87;2;123;0;0;0;0;1;0;0;1
64;83;27;25;192;55;0;0;0;0;0;0;64;83;27;25;192;55;0;0;1;1;0;0;2
12;59;87;49;18;177;0;0;0;0;0;0;12;59;87;49;18;177;1;0;0;0;1;0;2
90;7;57;50;180;7;0;7;0;0;0;7;90;0;57;50;180;0;0;0;0;0;0;0;0
4;3;10;43;2;3;0;3;0;0;0;3;4;0;10;43;2;0;1;0;1;0;1;0;3
82;70;38;47;82;210;82;0;0;0;82;0;0;70;38;47;0;210;0;0;0;0;0;0;0
18;50;63;39;27;16;0;0;0;0;0;0;18;50;63;39;27;16;1;0;0;0;1;1;3
24;94;8;17;72;94;0;94;0;0;0;94;24;0;8;17;72;0;1;0;1;1;0;0;3
95;34;17;21;63;17;0;0;17;0;0;17;95;34;0;21;63;0;0;1;0;1;0;0;2
39;58;22;21;19;87;0;0;0;0;0;0;39;58;22;21;19;87;0;0;1;1;1;0;3
92;36;41;18;138;54;0;0;0;0;0;0;92;36;41;18;138;54;0;1;0;1;0;0;2
26;29;1;6;26;87;26;0;0;0;26;0;0;29;1;6;0;87;0;1;1;1;0;0;3
83;8;79;8;124;2;0;8;0;8;0;0;83;0;79;0;124;2;0;0;0;0;0;1;1
93;19;17;12;31;9;0;0;0;0;0;0;93;19;17;12;31;9;0;1;1;1;1;1;5
41;88;24;24;41;132;41;0;24;24;41;0;0;88;0;0;0;132;0;0;0;0;0;0;0
26;8;34;6;8;24;0;8;0;0;8;0;26;0;34;6;0;24;1;0;1;1;0;1;4
8;22;88;44;16;22;0;22;0;0;0;22;8;0;88;44;16;0;1;0;0;0;1;0;2
67;79;30;34;67;52;67;0;0;0;67;0;0;79;30;34;0;52;0;0;1;1;0;0;2
15;87;74;37;7;174;0;0;0;0;0;0;15;87;74;37;7;174;1;0;0;0;1;0;2
68;95;8;13;136;95;0;95;0;0;0;95;68;0;8;13;136;0;0;0;1;1;0;0;2
18;97;48;44;18;291;18;0;0;0;18;0;0;97;48;44;0;291;0;0;0;0;0;0;0
19;51;32;50;19;17;19;0;0;0;19;0;0;51;32;50;0;17;0;0;1;0;0;1;2
25;96;30;48;50;288;0;0;0;0;0;0;25;96;30;48;50;288;1;0;1;0;0;0;2
95;81;79;38;63;27;0;0;0;0;0;0;95;81;79;38;63;27;0;0;0;0;0;1;1
54;59;17;33;54;118;54;0;0;0;54;0;0;59;17;33;0;118;0;0;1;1;0;0;2
70;44;20;27;210;22;0;0;0;0;0;0;70;44;20;27;210;22;0;0;1;1;0;1;3
78;1;10;32;26;3;0;0;0;0;0;0;78;1;10;32;26;3;0;1;1;1;1;1;5
52;90;83;50;156;30;0;0;0;0;0;0;52;90;83;50;156;30;0;0;0;0;0;1;1
83;41;40;43;166;41;0;41;0;0;0;41;83;0;40;43;166;0;0;0;0;0;0;0;0
56;52;17;33;168;104;0;0;0;0;0;0;56;52;17;33;168;104;0;0;1;1;0;0;2
93;5;33;39;186;10;0;0;0;0;0;0;93;5;33;39;186;10;0;1;1;0;0;1;3
57;31;88;19;28;31;0;31;0;0;0;31;57;0;88;19;28;0;0;0;0;1;1;0;2
66;24;2;41;33;48;0;0;0;0;0;0;66;24;2;41;33;48;0;1;1;0;1;0;3
8;70;64;5;8;23;8;0;0;0;8;0;0;70;64;5;0;23;0;0;0;1;0;1;2
10;81;71;35;3;243;0;0;0;0;0;0;10;81;71;35;3;243;1;0;0;1;1;0;3
11;30;88;45;11;10;11;0;0;0;11;0;0;30;88;45;0;10;0;1;0;0;0;1;2
83;99;10;44;83;66;83;0;0;0;83;0;0;99;10;44;0;66;0;0;1;0;0;0;1
45;62;2;41;45;62;45;62;0;0;45;62;0;0;2;41;0;0;0;0;1;0;0;0;1
44;9;30;2;44;3;44;0;0;0;44;0;0;9;30;2;0;3;0;1;1;1;0;1;4
17;43;8;35;25;43;0;43;0;0;0;43;17;0;8;35;25;0;1;0;1;1;1;0;4
79;79;66;43;237;118;79;79;0;0;0;0;0;0;66;43;237;118;0;0;0;0;0;0;0
89;30;64;25;89;90;89;0;0;0;89;0;0;30;64;25;0;90;0;1;0;1;0;0;2
51;14;37;10;76;42;0;0;0;0;0;0;51;14;37;10;76;42;0;1;0;1;0;0;2
99;93;96;11;148;93;0;93;0;0;0;93;99;0;96;11;148;0;0;0;0;1;0;0;1
32;48;29;6;96;96;0;0;0;0;96;96;32;48;29;6;0;0;1;0;1;1;0;0;3
6;6;82;12;9;18;6;6;0;0;0;0;0;0;82;12;9;18;0;0;0;1;1;1;3
50;28;86;49;25;28;0;28;0;0;0;28;50;0;86;49;25;0;0;0;0;0;1;0;1
68;89;85;46;22;44;0;0;0;0;0;0;68;89;85;46;22;44;0;0;0;0;1;0;1
8;4;38;25;5;8;8;0;0;0;0;8;0;4;38;25;5;0;0;1;0;1;1;0;3
87;55;17;5;174;27;0;0;0;0;0;0;87;55;17;5;174;27;0;0;1;1;0;1;3
76;55;5;44;50;165;0;0;0;0;0;0;76;55;5;44;50;165;0;0;1;0;0;0;1
34;87;88;28;34;87;34;87;0;0;34;87;0;0;88;28;0;0;0;0;0;1;0;0;1
75;22;47;17;37;7;0;0;0;0;0;0;75;22;47;17;37;7;0;1;0;1;0;1;3
92;37;99;31;92;74;92;0;0;0;92;0;0;37;99;31;0;74;0;0;0;1;0;0;1
91;94;32;31;182;31;0;0;0;31;0;31;91;94;32;0;182;0;0;0;1;0;0;0;1
63;60;52;28;31;90;0;0;0;0;0;0;63;60;52;28;31;90;0;0;0;1;1;0;2
50;83;83;33;25;166;0;83;83;0;0;0;50;0;0;33;25;166;0;0;0;1;1;0;2
20;27;4;7;20;27;20;27;0;0;20;27;0;0;4;7;0;0;0;0;1;1;0;0;2
38;83;96;47;25;83;0;83;0;0;0;83;38;0;96;47;25;0;0;0;0;0;1;0;1
77;92;81;48;231;61;0;0;0;0;0;0;77;92;81;48;231;61;0;0;0;0;0;0;0
86;15;47;29;43;45;0;0;0;0;0;0;86;15;47;29;43;45;0;1;0;1;0;0;2
10;12;63;46;15;36;0;0;0;0;0;0;10;12;63;46;15;36;1;1;0;0;1;1;4
79;16;51;13;79;16;79;16;0;0;79;16;0;0;51;13;0;0;0;0;0;1;0;0;1
68;90;75;17;136;90;0;90;0;0;0;90;68;0;75;17;136;0;0;0;0;1;0;0;1
84;93;29;1;56;93;0;93;0;0;0;93;84;0;29;1;56;0;0;0;1;1;0;0;2
56;40;27;44;56;13;56;0;0;0;56;0;0;40;27;44;0;13;0;0;1;0;0;1;2
100;45;88;10;200;45;0;45;0;0;0;45;100;0;88;10;200;0;0;0;0;1;0;0;1
71;42;90;15;47;63;0;0;0;0;0;0;71;42;90;15;47;63;0;0;0;1;0;0;1
88;66;66;41;88;66;88;66;66;0;88;66;0;0;0;41;0;0;0;0;0;0;0;0;0
53;86;64;27;53;43;53;0;0;0;53;0;0;86;64;27;0;43;0;0;0;1;0;0;1
34;98;9;11;51;196;0;0;0;0;0;0;34;98;9;11;51;196;1;0;1;1;0;0;3
84;92;21;30;252;276;0;0;0;0;0;0;84;92;21;30;252;276;0;0;1;1;0;0;2
61;37;51;37;20;111;0;37;0;37;0;0;61;0;51;0;20;111;0;0;0;0;1;0;1
82;2;74;19;123;2;0;2;0;0;0;2;82;0;74;19;123;0;0;0;0;1;0;0;1
25;63;67;8;25;31;25;0;0;0;25;0;0;63;67;8;0;31;0;0;0;1;0;1;2
57;41;7;42;57;61;57;0;0;0;57;0;0;41;7;42;0;61;0;0;1;0;0;0;1
13;48;90;16;13;32;13;0;0;0;13;0;0;48;90;16;0;32;0;0;0;1;0;1;2
62;85;67;32;62;85;62;85;0;0;62;85;0;0;67;32;0;0;0;0;0;1;0;0;1
10;75;51;33;10;225;10;0;0;0;10;0;0;75;51;33;0;225;0;0;0;1;0;0;1
16;20;8;28;16;60;16;0;0;0;16;0;0;20;8;28;0;60;0;1;1;1;0;0;3
58;24;82;16;58;24;58;24;0;0;58;24;0;0;82;16;0;0;0;0;0;1;0;0;1
89;66;66;48;44;44;0;66;66;0;44;44;89;0;0;48;0;0;0;0;0;0;0;0;0
42;5;51;33;42;3;42;0;0;0;42;0;0;5;51;33;0;3;0;1;0;1;0;1;3
55;38;81;45;55;19;55;0;0;0;55;0;0;38;81;45;0;19;0;0;0;0;0;1;1
30;38;54;17;60;114;0;0;0;0;0;0;30;38;54;17;60;114;1;0;0;1;0;0;2
12;24;12;19;24;24;12;24;12;0;24;24;0;0;0;19;0;0;0;0;0;1;0;0;1
10;98;99;50;10;49;10;0;0;0;10;0;0;98;99;50;0;49;0;0;0;0;0;0;0
12;72;47;36;12;36;12;0;0;36;12;36;0;72;47;0;0;0;0;0;0;0;0;0;0
33;29;33;33;99;14;33;0;33;33;0;0;0;29;0;0;99;14;0;1;0;0;0;1;2
84;99;59;12;42;99;0;99;0;0;0;99;84;0;59;12;42;0;0;0;0;1;0;0;1
17;5;18;35;8;5;0;5;0;0;0;5;17;0;18;35;8;0;1;0;1;1;1;0;4
80;57;58;2;40;171;0;0;0;0;0;0;80;57;58;2;40;171;0;0;0;1;0;0;1
81;84;20;49;54;126;0;0;0;0;0;0;81;84;20;49;54;126;0;0;1;0;0;0;1
43;48;15;20;43;144;43;0;0;0;43;0;0;48;15;20;0;144;0;0;1;1;0;0;2
88;63;60;46;264;189;0;0;0;0;0;0;88;63;60;46;264;189;0;0;0;0;0;0;0
87;91;85;39;130;60;0;0;0;0;0;0;87;91;85;39;130;60;0;0;0;0;0;0;0
68;54;55;49;68;162;68;0;0;0;68;0;0;54;55;49;0;162;0;0;0;0;0;0;0
2;90;97;6;1;60;0;0;0;0;0;0;2;90;97;6;1;60;1;0;0;1;1;0;3
88;70;91;42;44;46;0;0;0;0;0;0;88;70;91;42;44;46;0;0;0;0;0;0;0
35;54;77;47;17;36;0;0;0;0;0;0;35;54;77;47;17;36;1;0;0;0;1;1;3
42;84;22;17;28;168;0;0;0;0;0;0;42;84;22;17;28;168;0;0;1;1;1;0;3
50;63;4;20;150;63;0;63;0;0;0;63;50;0;4;20;150;0;0;0;1;1;0;0;2
18;44;46;5;18;66;18;0;0;0;18;0;0;44;46;5;0;66;0;0;0;1;0;0;1
24;26;93;10;72;17;0;0;0;0;0;0;24;26;93;10;72;17;1;1;0;1;0;1;4
24;37;94;20;24;18;24;0;0;0;24;0;0;37;94;20;0;18;0;0;0;1;0;1;2
88;93;28;40;44;93;0;93;0;0;0;93;88;0;28;40;44;0;0;0;1;0;0;0;1
38;90;53;42;38;60;38;0;0;0;38;0;0;90;53;42;0;60;0;0;0;0;0;0;0
52;34;18;29;52;51;52;0;0;0;52;0;0;34;18;29;0;51;0;1;1;1;0;0;3
100;86;5;50;66;172;0;0;0;0;0;0;100;86;5;50;66;172;0;0;1;0;0;0;1
67;28;38;27;22;18;0;0;0;0;0;0;67;28;38;27;22;18;0;1;0;1;1;1;4
50;26;39;36;16;13;0;0;0;0;0;0;50;26;39;36;16;13;0;1;0;1;1;1;4
50;80;67;31;100;80;0;80;0;0;0;80;50;0;67;31;100;0;0;0;0;1;0;0;1
30;60;59;3;20;40;0;0;0;0;0;0;30;60;59;3;20;40;1;0;0;1;1;0;3
87;18;5;34;87;6;87;0;0;0;87;0;0;18;5;34;0;6;0;1;1;1;0;1;4
99;85;70;28;49;170;0;0;0;0;0;0;99;85;70;28;49;170;0;0;0;1;0;0;1
14;69;31;30;21;138;0;0;0;0;0;0;14;69;31;30;21;138;1;0;1;1;1;0;4
10;21;86;17;10;31;10;0;0;0;10;0;0;21;86;17;0;31;0;1;0;1;0;1;3
5;58;48;34;2;29;0;0;0;0;0;0;5;58;48;34;2;29;1;0;0;1;1;1;4
59;63;50;25;29;94;0;0;0;0;0;0;59;63;50;25;29;94;0;0;0;1;1;0;2
13;100;17;21;26;200;0;0;0;0;0;0;13;100;17;21;26;200;1;0;1;1;1;0;4
21;87;81;10;42;174;0;0;0;0;0;0;21;87;81;10;42;174;1;0;0;1;0;0;2
72;70;77;5;108;105;0;0;0;0;0;0;72;70;77;5;108;105;0;0;0;1;0;0;1
69;62;27;2;34;20;0;0;0;0;0;0;69;62;27;2;34;20;0;0;1;1;1;1;4
86;92;86;26;172;92;86;92;86;0;0;92;0;0;0;26;172;0;0;0;0;1;0;0;1
96;80;79;18;48;160;0;0;0;0;0;0;96;80;79;18;48;160;0;0;0;1;0;0;1
44;12;45;40;132;24;0;0;0;0;0;0;44;12;45;40;132;24;0;1;0;0;0;1;2
54;54;34;12;81;54;54;54;0;0;0;54;0;0;34;12;81;0;0;0;1;1;0;0;2
71;78;46;27;71;117;71;0;0;0;71;0;0;78;46;27;0;117;0;0;0;1;0;0;1
92;52;8;19;46;17;0;0;0;0;0;0;92;52;8;19;46;17;0;0;1;1;0;1;3
30;22;81;25;10;7;0;0;0;0;0;0;30;22;81;25;10;7;1;1;0;1;1;1;5
52;11;43;10;34;33;0;0;0;0;0;0;52;11;43;10;34;33;0;1;0;1;1;1;4
10;1;66;9;3;1;0;1;0;0;0;1;10;0;66;9;3;0;1;0;0;1;1;0;3
83;84;76;31;166;168;0;0;0;0;0;0;83;84;76;31;166;168;0;0;0;1;0;0;1
79;24;46;33;79;24;79;24;0;0;79;24;0;0;46;33;0;0;0;0;0;1;0;0;1
13;73;29;22;8;109;0;0;0;0;0;0;13;73;29;22;8;109;1;0;1;1;1;0;4
67;24;29;42;134;16;0;0;0;0;0;0;67;24;29;42;134;16;0;1;1;0;0;1;3
55;57;48;8;55;19;55;0;0;0;55;0;0;57;48;8;0;19;0;0;0;1;0;1;2
85;9;6;15;28;18;0;0;0;0;0;0;85;9;6;15;28;18;0;1;1;1;1;1;5
83;89;46;5;27;89;0;89;0;0;0;89;83;0;46;5;27;0;0;0;0;1;1;0;2
37;40;60;9;37;26;37;0;0;0;37;0;0;40;60;9;0;26;0;0;0;1;0;1;2
25;14;5;21;8;42;0;0;0;0;0;0;25;14;5;21;8;42;1;1;1;1;1;0;5
35;33;61;3;17;33;0;33;0;0;0;33;35;0;61;3;17;0;1;0;0;1;1;0;3
28;93;94;42;28;62;28;0;0;0;28;0;0;93;94;42;0;62;0;0;0;0;0;0;0
40;34;58;43;40;34;40;34;0;0;40;34;0;0;58;43;0;0;0;0;0;0;0;0;0
89;47;90;32;267;70;0;0;0;0;0;0;89;47;90;32;267;70;0;0;0;1;0;0;1
90;40;72;34;60;40;0;40;0;0;0;40;90;0;72;34;60;0;0;0;0;1;0;0;1
76;93;5;47;152;93;0;93;0;0;0;93;76;0;5;47;152;0;0;0;1;0;0;0;1
29;37;70;4;9;74;0;0;0;0;0;0;29;37;70;4;9;74;1;0;0;1;1;0;3
20;15;48;34;30;10;0;0;0;0;0;0;20;15;48;34;30;10;1;1;0;1;1;1;5
74;18;41;2;24;54;0;0;0;0;0;0;74;18;41;2;24;54;0;1;0;1;1;0;3
100;89;66;38;200;89;0;89;0;0;0;89;100;0;66;38;200;0;0;0;0;0;0;0;0
15;84;98;12;10;28;0;0;0;0;0;0;15;84;98;12;10;28;1;0;0;1;1;1;4
70;67;46;11;140;134;0;0;0;0;0;0;70;67;46;11;140;134;0;0;0;1;0;0;1
40;68;67;43;40;45;40;0;0;0;40;0;0;68;67;43;0;45;0;0;0;0;0;0;0
28;85;62;21;42;255;0;0;0;0;0;0;28;85;62;21;42;255;1;0;0;1;0;0;2
50;81;16;33;33;81;0;81;0;33;33;81;50;0;16;0;0;0;0;0;1;0;0;0;1
72;82;54;34;216;246;0;0;0;0;0;0;72;82;54;34;216;246;0;0;0;1;0;0;1
34;62;24;1;34;62;34;62;0;0;34;62;0;0;24;1;0;0;0;0;1;1;0;0;2
40;75;11;4;26;50;0;0;0;0;0;0;40;75;11;4;26;50;0;0;1;1;1;0;3
84;57;36;11;56;85;0;0;0;0;0;0;84;57;36;11;56;85;0;0;1;1;0;0;2
43;47;2;41;43;70;43;0;0;0;43;0;0;47;2;41;0;70;0;0;1;0;0;0;1
5;42;10;29;2;21;0;0;0;0;0;0;5;42;10;29;2;21;1;0;1;1;1;1;5
96;37;92;20;288;37;0;37;0;0;0;37;96;0;92;20;288;0;0;0;0;1;0;0;1
9;7;20;49;9;7;9;7;0;0;9;7;0;0;20;49;0;0;0;0;1;0;0;0;1
14;56;82;7;42;18;0;0;0;0;0;0;14;56;82;7;42;18;1;0;0;1;0;1;3
41;13;27;40;20;4;0;0;0;0;0;0;41;13;27;40;20;4;0;1;1;0;1;1;4
85;95;67;26;127;190;0;0;0;0;0;0;85;95;67;26;127;190;0;0;0;1;0;0;1
97;24;65;50;145;24;0;24;0;0;0;24;97;0;65;50;145;0;0;0;0;0;0;0;0
85;11;14;17;42;3;0;0;0;0;0;0;85;11;14;17;42;3;0;1;1;1;0;1;4
25;90;46;48;37;90;0;90;0;0;0;90;25;0;46;48;37;0;1;0;0;0;0;0;1
39;10;93;35;26;15;0;0;0;0;0;0;39;10;93;35;26;15;0;1;0;1;1;1;4
1;10;69;32;1;6;1;0;0;0;1;0;0;10;69;32;0;6;0;1;0;1;0;1;3
77;61;22;18;154;61;0;61;0;0;0;61;77;0;22;18;154;0;0;0;1;1;0;0;2
65;91;98;38;130;91;0;91;0;0;0;91;65;0;98;38;130;0;0;0;0;0;0;0;0
54;92;38;16;36;92;0;92;0;0;0;92;54;0;38;16;36;0;0;0;0;1;1;0;2
96;72;88;15;64;216;0;0;0;0;0;0;96;72;88;15;64;216;0;0;0;1;0;0;1
70;98;96;50;70;196;70;0;0;0;70;0;0;98;96;50;0;196;0;0;0;0;0;0;0
55;79;16;16;55;26;55;0;16;16;55;0;0;79;0;0;0;26;0;0;0;0;0;1;1
21;40;86;40;21;60;21;40;0;40;21;0;0;0;86;0;0;60;0;0;0;0;0;0;0
85;28;4;21;85;42;85;0;0;0;85;0;0;28;4;21;0;42;0;1;1;1;0;0;3
25;44;25;48;25;22;25;0;25;0;25;0;0;44;0;48;0;22;0;0;0;0;0;1;1
69;72;55;21;34;24;0;0;0;0;0;0;69;72;55;21;34;24;0;0;0;1;1;1;3
61;66;98;15;30;132;0;0;0;0;0;0;61;66;98;15;30;132;0;0;0;1;1;0;2
83;36;94;46;83;108;83;0;0;0;83;0;0;36;94;46;0;108;0;1;0;0;0;0;1
81;78;16;21;40;234;0;0;0;0;0;0;81;78;16;21;40;234;0;0;1;1;0;0;2
88;75;65;30;88;112;88;0;0;0;88;0;0;75;65;30;0;112;0;0;0;1;0;0;1
42;82;13;4;42;54;42;0;0;0;42;0;0;82;13;4;0;54;0;0;1;1;0;0;2
65;90;45;49;65;30;65;0;0;0;65;0;0;90;45;49;0;30;0;0;0;0;0;1;1
83;57;59;6;83;171;83;0;0;0;83;0;0;57;59;6;0;171;0;0;0;1;0;0;1
21;12;21;30;42;12;21;12;21;0;0;12;0;0;0;30;42;0;0;0;0;1;0;0;1
90;100;35;32;60;150;0;0;0;0;0;0;90;100;35;32;60;150;0;0;1;1;0;0;2
97;37;74;9;97;12;97;0;0;0;97;0;0;37;74;9;0;12;0;0;0;1;0;1;2
80;73;28;47;40;24;0;0;0;0;0;0;80;73;28;47;40;24;0;0;1;0;0;1;2
16;58;92;35;5;58;0;58;0;0;0;58;16;0;92;35;5;0;1;0;0;1;1;0;3
57;26;80;4;57;26;57;26;0;0;57;26;0;0;80;4;0;0;0;0;0;1;0;0;1
12;14;99;43;36;21;0;0;0;0;0;0;12;14;99;43;36;21;1;1;0;0;1;1;4
37;95;8;32;12;190;0;0;0;0;0;0;37;95;8;32;12;190;0;0;1;1;1;0;3
93;37;64;35;31;37;0;37;0;0;0;37;93;0;64;35;31;0;0;0;0;1;1;0;2
90;17;76;23;135;11;0;0;0;0;0;0;90;17;76;23;135;11;0;1;0;1;0;1;3
33;9;100;43;33;4;33;0;0;0;33;0;0;9;100;43;0;4;0;1;0;0;0;1;2
70;10;7;1;210;10;0;10;0;0;0;10;70;0;7;1;210;0;0;0;1;1;0;0;2
11;97;77;47;16;194;0;0;0;0;0;0;11;97;77;47;16;194;1;0;0;0;1;0;2
39;86;72;2;13;57;0;0;0;0;0;0;39;86;72;2;13;57;0;0;0;1;1;0;2
66;79;80;23;66;79;66;79;0;0;66;79;0;0;80;23;0;0;0;0;0;1;0;0;1
50;18;35;8;33;27;0;0;0;0;0;0;50;18;35;8;33;27;0;1;1;1;1;1;5
15;29;62;50;15;29;15;29;0;0;15;29;0;0;62;50;0;0;0;0;0;0;0;0;0
8;83;35;37;5;124;0;0;0;0;0;0;8;83;35;37;5;124;1;0;1;0;1;0;3
12;32;2;47;24;21;0;0;0;0;0;0;12;32;2;47;24;21;1;1;1;0;1;1;5
74;60;6;28;148;20;0;0;0;0;0;0;74;60;6;28;148;20;0;0;1;1;0;1;3
42;50;37;33;28;33;0;0;0;33;0;33;42;50;37;0;28;0;0;0;0;0;1;0;1
71;79;36;14;71;158;71;0;0;0;71;0;0;79;36;14;0;158;0;0;1;1;0;0;2
88;69;95;22;44;138;0;0;0;0;0;0;88;69;95;22;44;138;0;0;0;1;0;0;1
100;60;11;41;50;120;0;0;0;0;0;0;100;60;11;41;50;120;0;0;1;0;0;0;1
55;72;74;47;55;72;55;72;0;0;55;72;0;0;74;47;0;0;0;0;0;0;0;0;0
45;67;8;29;45;33;45;0;0;0;45;0;0;67;8;29;0;33;0;0;1;1;0;1;3
71;31;99;12;35;93;0;0;0;0;0;0;71;31;99;12;35;93;0;1;0;1;1;0;3
37;56;96;29;18;168;0;0;0;0;0;0;37;56;96;29;18;168;0;0;0;1;1;0;2
25;11;57;48;25;33;25;0;0;0;25;0;0;11;57;48;0;33;0;1;0;0;0;1;2
54;66;89;8;18;66;0;66;0;0;0;66;54;0;89;8;18;0;0;0;0;1;1;0;2
74;25;94;31;37;8;0;0;0;0;0;0;74;25;94;31;37;8;0;1;0;1;0;1;3
33;16;20;28;33;16;33;16;0;0;33;16;0;0;20;28;0;0;0;0;1;1;0;0;2
74;33;75;29;111;99;0;0;0;0;0;0;74;33;75;29;111;99;0;1;0;1;0;0;2
44;20;57;47;88;20;0;20;0;0;0;20;44;0;57;47;88;0;0;0;0;0;0;0;0
72;9;37;6;108;27;0;0;0;0;0;0;72;9;37;6;108;27;0;1;0;1;0;1;3
87;58;85;20;261;19;0;0;0;0;0;0;87;58;85;20;261;19;0;0;0;1;0;1;2
68;51;57;28;34;34;0;0;0;0;34;34;68;51;57;28;0;0;0;0;0;1;0;0;1
2;45;97;25;3;45;0;45;0;0;0;45;2;0;97;25;3;0;1;0;0;1;1;0;3
65;81;68;32;21;81;0;81;0;0;0;81;65;0;68;32;21;0;0;0;0;1;1;0;2
52;3;66;8;52;2;52;0;0;0;52;0;0;3;66;8;0;2;0;1;0;1;0;1;3
13;57;62;41;39;28;0;0;0;0;0;0;13;57;62;41;39;28;1;0;0;0;0;1;2
82;28;88;26;27;9;0;0;0;0;0;0;82;28;88;26;27;9;0;1;0;1;1;1;4
75;92;9;18;75;276;75;0;0;0;75;0;0;92;9;18;0;276;0;0;1;1;0;0;2
64;45;4;41;21;135;0;0;0;0;0;0;64;45;4;41;21;135;0;0;1;0;1;0;2
23;7;9;29;23;7;23;7;0;0;23;7;0;0;9;29;0;0;0;0;1;1;0;0;2
46;71;9;31;15;23;0;0;0;0;0;0;46;71;9;31;15;23;0;0;1;1;1;1;4
87;80;30;47;87;26;87;0;0;0;87;0;0;80;30;47;0;26;0;0;1;0;0;1;2
72;90;54;8;216;90;0;90;0;0;0;90;72;0;54;8;216;0;0;0;0;1;0;0;1
28;94;81;48;9;141;0;0;0;0;0;0;28;94;81;48;9;141;1;0;0;0;1;0;2
62;98;30;24;93;147;0;0;0;0;0;0;62;98;30;24;93;147;0;0;1;1;0;0;2
58;35;23;1;116;17;0;0;0;0;0;0;58;35;23;1;116;17;0;1;1;1;0;1;4
53;17;33;41;53;51;53;0;0;0;53;0;0;17;33;41;0;51;0;1;1;0;0;0;2
46;41;33;34;46;41;46;41;0;0;46;41;0;0;33;34;0;0;0;0;1;1;0;0;2
47;11;16;12;47;11;47;11;0;0;47;11;0;0;16;12;0;0;0;0;1;1;0;0;2
18;9;30;35;54;9;0;9;0;0;0;9;18;0;30;35;54;0;1;0;1;1;0;0;3
67;3;50;23;134;1;0;0;0;0;0;0;67;3;50;23;134;1;0;1;0;1;0;1;3
56;8;3;37;112;8;0;8;0;0;0;8;56;0;3;37;112;0;0;0;1;0;0;0;1
69;30;91;30;46;10;0;30;0;30;0;0;69;0;91;0;46;10;0;0;0;0;0;1;1
29;84;76;12;29;42;29;0;0;0;29;0;0;84;76;12;0;42;0;0;0;1;0;0;1
5;53;50;22;5;35;5;0;0;0;5;0;0;53;50;22;0;35;0;0;0;1;0;1;2
20;58;3;2;20;38;20;0;0;0;20;0;0;58;3;2;0;38;0;0;1;1;0;0;2
99;29;12;34;99;43;99;0;0;0;99;0;0;29;12;34;0;43;0;1;1;1;0;0;3
11;25;89;37;22;8;0;0;0;0;0;0;11;25;89;37;22;8;1;1;0;0;1;1;4
68;93;28;46;102;62;0;0;0;0;0;0;68;93;28;46;102;62;0;0;1;0;0;0;1
33;59;72;16;99;118;0;0;0;0;0;0;33;59;72;16;99;118;1;0;0;1;0;0;2
71;50;14;37;71;50;71;50;0;0;71;50;0;0;14;37;0;0;0;0;1;0;0;0;1
23;92;50;26;23;138;23;0;0;0;23;0;0;92;50;26;0;138;0;0;0;1;0;0;1
77;13;27;9;51;13;0;13;0;0;0;13;77;0;27;9;51;0;0;0;1;1;0;0;2
81;39;79;7;243;26;0;0;0;0;0;0;81;39;79;7;243;26;0;0;0;1;0;1;2
62;13;95;42;41;26;0;0;0;0;0;0;62;13;95;42;41;26;0;1;0;0;0;1;2
3;67;75;22;3;67;3;67;0;0;3;67;0;0;75;22;0;0;0;0;0;1;0;0;1
43;6;27;4;28;6;0;6;0;0;0;6;43;0;27;4;28;0;0;0;1;1;1;0;3
75;75;9;4;50;112;75;75;0;0;0;0;0;0;9;4;50;112;0;0;1;1;0;0;2
